VILLAGE,X_Centroid,Y_Centroid,Lat_trans,Lon_trans,lat,lon
Aasu,526106.7148,8418830.628,-14.302265,-170.757931,-14.2975,-170.758333
Afao,521428.6224,8416576.939,-14.322683,-170.80129,-14.330587,-170.801095
Afono,537623.1362,8423460.187,-14.260274,-170.651214,-14.260672,-170.650727
Agugulu,519398.64,8416169.914,-14.326378,-170.820111,-14.329899,-170.820477
Alao,546476.9289,8423177.934,-14.262692,-170.569131,-14.263137,-170.567454
Alega,538794.48,8421768.738,-14.275551,-170.640331,-14.279201,-170.637201
Alofau,543041.9198,8421702.619,-14.276086,-170.600952,-14.273889,-170.602855
Amaluia,522748.5053,8416531.01,-14.323087,-170.78905,-14.33309,-170.791403
Amanave,518002.3054,8416516.298,-14.323255,-170.833062,-14.324516,-170.830167
Amaua,540331.9122,8422569.774,-14.268286,-170.626089,-14.271488,-170.624019
Amouli,544402.7334,8422016.038,-14.273231,-170.588341,-14.271681,-170.583421
Anua,533636.5464,8422567.277,-14.268398,-170.68816,-14.270141,-170.69961
Aoa,544562.8718,8423075.242,-14.263652,-170.586873,-14.263907,-170.586892
Aoloau,523786.858,8418688.284,-14.303573,-170.77944,-14.311489,-170.772706
Asili,522147.5054,8416741.02,-14.321193,-170.794625,-14.330372,-170.795557
Atuu,533899.6823,8422528.724,-14.268744,-170.68572,-14.270827,-170.689558
Aua,536444.7732,8422254.518,-14.271191,-170.662121,-14.269739,-170.661823
Auasi,545573.2681,8422555.178,-14.268337,-170.577498,-14.269739,-170.661823
Aumi,538021.7095,8421363.397,-14.279227,-170.647489,-14.287527,-170.648229
Aunuu,548149.6108,8420835.945,-14.283838,-170.553583,-14.282722,-170.553567
Auto,539807.3826,8422085.285,-14.272675,-170.630945,-14.274875,-170.627835
Avaio,539339.2124,8421898.664,-14.274369,-170.635282,-14.279701,-170.631651
Fagaalu,533923.7761,8420142.467,-14.290319,-170.685467,-14.290061,-170.684705
Fagaitua,541496.4442,8422828.967,-14.265926,-170.615297,-14.26719,-170.615346
Fagalii,518969.949,8417711.466,-14.312442,-170.824097,-14.310759,-170.828091
Fagamalo,521718.2909,8418965.902,-14.30108,-170.798623,-14.299239,-170.809403
Faganeanea,532719.1656,8419145.533,-14.299348,-170.696623,-14.30179,-170.690251
Fagasa,529666.2267,8420384.727,-14.288178,-170.724944,-14.287047,-170.717977
Fagatogo,533062.1873,8420871.58,-14.283737,-170.693464,-14.279568,-170.692331
Failolo,518933.5847,8416280.815,-14.325378,-170.824424,-14.328541,-170.827225
Faleniu,527643.401,8416032.755,-14.327548,-170.743654,-14.327574,-170.742229
Fatumafuti,534646.8043,8419463.52,-14.296449,-170.678754,-14.296637,-170.678119
Futiga,525854.5109,8413066.749,-14.354383,-170.760215,-14.348378,-170.758854
Iliili,527973.2085,8414178.782,-14.344307,-170.740577,-14.341861,-170.739457
Laulii,537022.0551,8420889.137,-14.283528,-170.656751,-14.287624,-170.653788
Leloaloa,534732.2294,8422812.186,-14.26617,-170.678005,-14.268153,-170.676385
Leone,523766.8407,8415281.56,-14.334376,-170.779596,-14.337725,-170.781016
Malaeimi,528565.0635,8418016.965,-14.309598,-170.735128,-14.317444,-170.740843
Malaeloa/Aitulagi,524997.4987,8415703.588,-14.330549,-170.768187,-14.337185,-170.767166
Malaeloa/Ituau,524996.6601,8414412.661,-14.342221,-170.768183,-14.342835,-170.764395
Maloata,520375.0564,8418141.926,-14.30854,-170.811071,-14.305211,-170.81494
Mapusagafou,526839.814,8417102.923,-14.317879,-170.751117,-14.323851,-170.757469
Masausi,542232.5128,8423519.359,-14.259672,-170.608484,-14.259559,-170.604243
Masefau,539760.6115,8423580.748,-14.259154,-170.6314,-14.2549,-170.631998
Matuu,533462.0758,8419530.513,-14.295858,-170.68974,-14.298695,-170.684705
Mesepa,527714.0535,8416960.8,-14.319156,-170.743009,-14.324912,-170.747771
Nua,520801.2834,8416718.255,-14.32141,-170.807108,-14.327923,-170.806634
Nuuuli,530848.1465,8418230.04,-14.307647,-170.713961,-14.310602,-170.713125
Onenoa,545430.9082,8424133.515,-14.254069,-170.578844,-14.252555,-170.581686
Pagai,542638.9184,8422583.022,-14.268132,-170.604702,-14.268299,-170.607019
Pago,531923.9461,8421949.377,-14.274005,-170.70403,-14.275632,-170.702036
Pavaiai,526667.2679,8415413.505,-14.333156,-170.7527,-14.33515,-170.751927
Poloa,518023.763,8417124.216,-14.317759,-170.832867,-14.318864,-170.832935
Sailele,543308.1715,8423267.951,-14.261929,-170.598508,-14.257847,-170.597303
Seetaga,520210.5514,8416732.486,-14.321285,-170.812586,-14.325258,-170.812171
Tafuna,529610.7429,8415677.75,-14.330737,-170.725407,-14.331296,-170.726985
Taputimu,524728.9603,8413257.463,-14.352669,-170.770655,-14.357558,-170.772706
Tula,546457.5592,8424306.38,-14.252489,-170.56933,-14.252323,-170.56676
Utulei,534125.2242,8420888.859,-14.283568,-170.683608,-14.28212,-170.684012
Utumea East,546230.0159,8422540.24,-14.268461,-170.571409,-14.270038,-170.56919
Utumea West,519723.0902,8416449.217,-14.32385,-170.817104,-14.327872,-170.814594
Vailoatai,524071.316,8412742.711,-14.357329,-170.77675,-14.352122,-170.781016
Vaitogi,527973.9159,8413061.928,-14.354405,-170.740558,-14.351993,-170.740843
Vatia,535040.3333,8424175.929,-14.253836,-170.675167,-14.249451,-170.676385